ID	Code
1000	3
1001	3
1002	1
1003	1
1004	1
1005	1
1006	1
1007	3
1008	1
1009	1
1010	3
1011	3
1012	3
1013	1
1014	1
1015	1
1016	1
1017	3
1018	1
1019	3
1020	1
1021	2
1022	1
1023	2
1024	1
1025	1
1026	2
1027	1
1028	2
1029	3
1030	1
1031	3
1032	3
1033	1
1034	1
1035	1
1036	1
1037	1
1038	3
1039	1
1040	3
1041	1
1042	1
1043	3
1044	1
1045	1
1046	3
1047	1
1048	3
1049	3
1050	2
1051	3
1052	1
1053	1
1054	1
1055	1
1056	2
1057	1
1058	1
1059	1
1060	1
1061	1
1062	1
1063	3
1064	1
1065	1
1066	3
1067	1
1068	1
1069	1
1070	3
1071	1
1072	3
1073	1
1074	1
1075	1
1076	1
1077	1
1078	1
1079	1
1080	1
1081	1
1082	1
1083	1
1084	1
1085	1
1086	1
1087	3
1088	1
1089	3
1090	3
1091	1
1092	3
1093	1
1094	1
1095	1
1096	1
1097	3
1098	3
1099	1
1100	3
1101	2
1102	1
1103	3
1104	3
1105	1
1106	3
1107	1
1108	1
1109	1
1110	1
1111	3
1112	1
1113	3
1114	3
1115	1
1116	3
1117	3
1118	3
1119	1
1120	1
1121	1
1122	1
1123	1
1124	1
1125	3
1126	1
1127	3
1128	3
1129	3
1130	1
1131	3
1132	1
1133	1
1134	1
1135	3
1136	1
1137	2
1138	1
1139	1
1140	1
1141	1
1142	2
1143	1
1144	1
1145	2
1146	2
1147	1
1148	1
1149	3
1150	3
1151	3
1152	1
1153	1
1154	3
1155	1
1156	1
1157	1
1158	3
1159	1
1160	1
1161	1
1162	3
1163	3
1164	1
1165	1
1166	1
1167	3
1168	1
1169	1
1170	1
1171	1
1172	2
1173	3
1174	1
1175	2
1176	1
1177	2
1178	1
1179	1
1180	1
1181	2
1182	1
1183	1
1184	1
1185	1
1186	3
1187	3
1188	3
1189	3
1190	3
1191	1
1192	3
1193	3
1194	3
1195	3
1196	1
1197	1
1198	1
1199	1
1200	1
1201	1
1202	1
1203	1
1204	3
1205	3
1206	3
1207	1
1208	3
1209	3
1210	1
1211	3
1212	1
1213	3
1214	1
1215	3
1216	3
1217	1
1218	3
1219	1
1220	1
1221	3
1222	1
1223	3
1224	1
1225	1
1226	3
1227	1
1228	2
1229	1
1230	1
1231	1
1232	1
1233	1
1234	1
1235	1
1236	1
1237	3
1238	1
1239	1
1240	1
1241	1
1242	3
1243	3
1244	1
1245	3
1246	1
1247	1
1248	3
1249	3
1250	1
1251	1
1252	3
1253	3
1254	2
1255	1
1256	3
1257	1
1258	2
1259	3
1260	1
1261	3
1262	1
1263	1
1264	1
1265	1
1266	1
1267	1
1268	1
1269	1
1270	1
1271	1
1272	3
1273	1
1274	1
1275	3
1276	1
1277	1
1278	1
1279	1
1280	1
1281	1
1282	3
1283	1
1284	1
1285	2
1286	1
1287	2
1288	1
1289	3
1290	3
1291	1
1292	3
1293	1
1294	1
1295	1
1296	1
1297	3
1298	3
1299	1
1300	1
1301	1
1302	1
1303	1
1304	3
1305	1
1306	3
1307	2
1308	3
1309	1
1310	3
1311	3
1312	1
1313	3
1314	3
1315	1
1316	1
1317	1
1318	3
1319	1
1320	3
1321	1
1322	1
1323	1
1324	1
1325	1
1326	3
1327	3
1328	1
1329	1
1330	3
1331	1
1332	3
1333	2
1334	1
1335	3
1336	1
1337	1
1338	1
1339	1
1340	1
1341	1
1342	1
1343	1
1344	3
1345	2
1346	1
1347	1
1348	1
1349	1
1350	1
1351	1
1352	3
1353	1
1354	1
1355	1
1356	2
1357	3
1358	3
1359	1
1360	1
1361	1
1362	1
1363	3
1364	1
1365	1
1366	1
1367	3
1368	1
1369	2
1370	2
1371	1
1372	1
1373	1
1374	1
1375	3
1376	1
1377	3
1378	3
1379	1
1380	1
1381	1
1382	1
1383	3
1384	1
1385	1
1386	2
1387	1
1388	1
1389	1
1390	1
1391	2
1392	3
